[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
3.5000e+05   3.5000e+01   1.0000e+01   7.8537e-05   2.8078e-06
3.5000e+05   3.5000e+02   1.0000e+01   1.8290e-04   1.4899e-05
3.5000e+05   3.5000e+03   1.0000e+01   2.9652e-04   3.1245e-05
3.5000e+05   3.5000e+04   1.0000e+01   4.2391e-04   4.4988e-05
3.5000e+06   1.0000e+00   1.0000e+01   1.7520e-07   1.2697e-08
3.5000e+06   1.0000e+01   1.0000e+01   6.0756e-06   8.2694e-07
3.5000e+06   1.0000e+02   1.0000e+01   9.1970e-05   2.0068e-05
3.5000e+06   1.0000e+03   1.0000e+01   2.8688e-04   1.1120e-04
3.5000e+06   1.0000e+04   1.0000e+01   5.1351e-04   2.4654e-04
3.5000e+06   1.0000e+05   1.0000e+01   7.5105e-04   3.7975e-04
3.5000e+06   3.5000e+00   1.0000e+01   1.1217e-06   1.3076e-07
3.5000e+06   3.5000e+01   1.0000e+01   3.3968e-05   5.4514e-06
3.5000e+06   3.5000e+02   1.0000e+01   1.9149e-04   6.1236e-05
3.5000e+06   3.5000e+03   1.0000e+01   4.0814e-04   1.8217e-04
3.5000e+06   3.5000e+04   1.0000e+01   6.4223e-04   3.2261e-04
3.5000e+07   1.0000e+00   1.0000e+01   5.7363e-10   2.8520e-10
3.5000e+07   1.0000e+01   1.0000e+01   1.9927e-07   1.0417e-07
3.5000e+07   1.0000e+02   1.0000e+01   1.3082e-05   1.0230e-05
3.5000e+07   1.0000e+03   1.0000e+01   1.5514e-04   1.9321e-04
3.5000e+07   1.0000e+04   1.0000e+01   4.0765e-04   6.5164e-04
3.5000e+07   1.0000e+05   1.0000e+01   6.8588e-04   1.1943e-03
3.5000e+07   1.9000e+02   1.0000e+01   3.2807e-05   2.8183e-05
3.5000e+07   1.9000e+03   1.0000e+01   2.1998e-04   3.0267e-04
3.5000e+07   1.9000e+04   1.0000e+01   4.8458e-04   8.0179e-04
3.5000e+07   3.5000e+00   1.0000e+01   1.5047e-08   4.2569e-09
3.5000e+07   3.5000e+01   1.0000e+01   2.2372e-06   1.6358e-06
3.5000e+07   3.5000e+02   1.0000e+01   6.6747e-05   6.5738e-05
3.5000e+07   3.5000e+03   1.0000e+01   2.8638e-04   4.2200e-04
3.5000e+07   3.5000e+04   1.0000e+01   5.5864e-04   9.4736e-04
3.5000e+07   6.7000e+02   1.0000e+01   1.1807e-04   1.3566e-04
3.5000e+07   6.7000e+03   1.0000e+01   3.6055e-04   5.6109e-04
3.5000e+07   6.7000e+04   1.0000e+01   6.3743e-04   1.1014e-03
3.5000e+08   1.0000e+00   1.0000e+01   8.7192e-12   8.3758e-11
3.5000e+08   1.0000e+01   1.0000e+01   8.7183e-10   1.7487e-09
3.5000e+08   1.0000e+02   1.0000e+01   6.4049e-07   1.8092e-06
3.5000e+08   1.0000e+03   1.0000e+01   3.1943e-05   1.2749e-04
3.5000e+08   1.0000e+04   1.0000e+01   1.6226e-04   6.3594e-04
3.5000e+08   1.0000e+05   1.0000e+01   3.8655e-04   1.3968e-03
3.5000e+08   1.9000e+02   1.0000e+01   2.3948e-06   8.1604e-06
3.5000e+08   1.9000e+03   1.0000e+01   5.6143e-05   2.3276e-04
3.5000e+08   1.9000e+04   1.0000e+01   2.1885e-04   8.3276e-04
3.5000e+08   3.5000e+00   1.0000e+01   5.6608e-11   4.3815e-10
3.5000e+08   3.5000e+01   1.0000e+01   4.4528e-08   6.5005e-08
3.5000e+08   3.5000e+02   1.0000e+01   7.3113e-06   2.7225e-05
3.5000e+08   3.5000e+03   1.0000e+01   8.7097e-05   3.5996e-04
3.5000e+08   3.5000e+04   1.0000e+01   2.7751e-04   1.0333e-03
3.5000e+08   6.7000e+02   1.0000e+01   2.0031e-05   7.7588e-05
3.5000e+08   6.7000e+03   1.0000e+01   1.3058e-04   5.2287e-04
3.5000e+08   6.7000e+04   1.0000e+01   3.4402e-04   1.2563e-03
6.7000e+07   1.0000e+02   1.0000e+01   6.1834e-06   7.2933e-06
6.7000e+07   1.0000e+03   1.0000e+01   1.1464e-04   1.8657e-04
6.7000e+07   1.0000e+04   1.0000e+01   3.4884e-04   7.0605e-04
6.7000e+07   1.0000e+05   1.0000e+01   6.1020e-04   1.3506e-03
6.7000e+07   1.9000e+02   1.0000e+01   1.7430e-05   2.1850e-05
6.7000e+07   1.9000e+03   1.0000e+01   1.7310e-04   3.0698e-04
6.7000e+07   1.9000e+04   1.0000e+01   4.2165e-04   8.8183e-04
6.7000e+07   3.5000e+02   1.0000e+01   4.0702e-05   5.5528e-05
6.7000e+07   3.5000e+03   1.0000e+01   2.3445e-04   4.4136e-04
6.7000e+07   3.5000e+04   1.0000e+01   4.9146e-04   1.0540e-03
6.7000e+07   6.7000e+02   1.0000e+01   8.2228e-05   1.2535e-04
6.7000e+07   6.7000e+03   1.0000e+01   3.0424e-04   6.0095e-04
6.7000e+07   6.7000e+04   1.0000e+01   5.6527e-04   1.2384e-03
6.7000e+08   1.0000e+02   1.0000e+01   1.9302e-07   6.1531e-07
6.7000e+08   1.0000e+03   1.0000e+01   1.5907e-05   9.2131e-05
6.7000e+08   1.0000e+04   1.0000e+01   1.1030e-04   5.5086e-04
6.7000e+08   1.0000e+05   1.0000e+01   3.2189e-04   1.3129e-03
6.7000e+08   1.9000e+02   1.0000e+01   8.7446e-07   3.9075e-06
